TimeStamp,Produced(Wh),Consumed(Wh),Temp(F),SolarRadiation(W/m2)
2024-04-01 0:00:00,0,2360,37.3,0
2024-04-01 1:00:00,0,1520,35.5,0
2024-04-01 2:00:00,0,2130,34.5,0
2024-04-01 3:00:00,0,1720,34.5,0
2024-04-01 4:00:00,0,1560,41.5,0
2024-04-01 5:00:00,0,1630,39.3,0
2024-04-01 6:00:00,0,2290,39.6,0
2024-04-01 7:00:00,846,2056,46.9,26
2024-04-01 8:00:00,1309,2059,47.8,48
2024-04-01 9:00:00,2088,2388,49,75
2024-04-01 10:00:00,2574,2184,49.1,89
2024-04-01 11:00:00,3886,2016,49.2,127
2024-04-01 12:00:00,4490,2480,50.7,168
2024-04-01 13:00:00,5598,3028,50,225
2024-04-01 14:00:00,4035,1935,50.1,140
2024-04-01 15:00:00,6913,1943,50.2,116
2024-04-01 16:00:00,6874,1884,50,195
2024-04-01 17:00:00,2295,1795,49.9,71
2024-04-01 18:00:00,762,2062,47.9,42
2024-04-01 19:00:00,21,3221,44.3,6
2024-04-01 20:00:00,0,2850,39.3,0
2024-04-01 21:00:00,0,2550,37.4,0
2024-04-01 22:00:00,0,1870,35.5,0
2024-04-01 23:00:00,0,2030,33.5,0
2024-04-02 0:00:00,0,1640,33.1,0
2024-04-02 1:00:00,0,1770,32,0
2024-04-02 2:00:00,0,1800,32.3,0
2024-04-02 3:00:00,0,1650,31.9,0
2024-04-02 4:00:00,0,1780,32.7,0
2024-04-02 5:00:00,0,3120,38.2,0
2024-04-02 6:00:00,13,2263,39.2,0
2024-04-02 7:00:00,727,3887,45,19
2024-04-02 8:00:00,2862,2602,46.2,74
2024-04-02 9:00:00,4471,2781,47,120
2024-04-02 10:00:00,9427,2447,47.7,176
2024-04-02 11:00:00,7146,2616,47.8,185
2024-04-02 12:00:00,8773,2383,47,214
2024-04-02 13:00:00,2681,2491,44.4,88
2024-04-02 14:00:00,2196,2566,44.2,66
2024-04-02 15:00:00,2691,2571,44.3,80
2024-04-02 16:00:00,2366,2506,43.8,83
2024-04-02 17:00:00,1166,4046,43.6,34
2024-04-02 18:00:00,76,4416,42.8,10
2024-04-02 19:00:00,0,4020,42.6,2
2024-04-02 20:00:00,0,3470,42,0
2024-04-02 21:00:00,0,2900,42.5,0
2024-04-02 22:00:00,0,2590,42.6,0
2024-04-02 23:00:00,0,2210,42.6,0
2024-04-03 0:00:00,0,2320,41.8,0
2024-04-03 1:00:00,0,2420,41.6,0
2024-04-03 2:00:00,0,2320,40.8,0
2024-04-03 3:00:00,0,2130,40.8,0
2024-04-03 4:00:00,0,2090,41.7,0
2024-04-03 5:00:00,0,2710,41.6,0
2024-04-03 6:00:00,0,2120,41.9,0
2024-04-03 7:00:00,258,3128,40.6,8
2024-04-03 8:00:00,1013,3533,40.8,29
2024-04-03 9:00:00,1466,3496,40.7,38
2024-04-03 10:00:00,2912,3252,42,72
2024-04-03 11:00:00,2195,3445,41.8,59
2024-04-03 12:00:00,4052,3802,42.3,92
2024-04-03 13:00:00,1735,3705,40,46
2024-04-03 14:00:00,1526,3856,39.8,26
2024-04-03 15:00:00,1344,3504,39.6,24
2024-04-03 16:00:00,932,3772,40.3,23
2024-04-03 17:00:00,187,4847,40.5,9
2024-04-03 18:00:00,8,3958,40.3,3
2024-04-03 19:00:00,0,4030,39.6,1
2024-04-03 20:00:00,0,3880,39.6,0
2024-04-03 21:00:00,0,4740,40.5,0
2024-04-03 22:00:00,0,3910,39.7,0
2024-04-03 23:00:00,0,3200,40.6,0
2024-04-04 0:00:00,0,2470,40.9,0
2024-04-04 1:00:00,0,2720,41.6,0
2024-04-04 2:00:00,0,2620,41.7,0
2024-04-04 3:00:00,0,2870,41.6,0
2024-04-04 4:00:00,0,2510,41.7,0
2024-04-04 5:00:00,0,2700,41.5,0
2024-04-04 6:00:00,0,2920,40.8,0
2024-04-04 7:00:00,565,2565,39.6,16
2024-04-04 8:00:00,1881,2641,38.9,56
2024-04-04 9:00:00,5651,2141,38.8,126
2024-04-04 10:00:00,8249,2299,40.3,219
2024-04-04 11:00:00,18611,2291,40.9,433
2024-04-04 12:00:00,10649,2249,41.5,376
2024-04-04 13:00:00,10722,2042,41.2,294
2024-04-04 14:00:00,10073,3033,43.3,241
2024-04-04 15:00:00,9314,2304,43.7,264
2024-04-04 16:00:00,10149,2239,44.3,215
2024-04-04 17:00:00,8258,2148,44.9,188
2024-04-04 18:00:00,1896,2476,42,34
2024-04-04 19:00:00,52,4432,37.9,7
2024-04-04 20:00:00,0,4740,34.8,0
2024-04-04 21:00:00,0,4600,32.8,0
2024-04-04 22:00:00,0,5160,32.3,0
2024-04-04 23:00:00,0,2310,31.6,0
2024-04-05 0:00:00,0,2380,31.3,0
2024-04-05 1:00:00,0,2500,31.4,0
2024-04-05 2:00:00,0,2330,33.7,0
2024-04-05 3:00:00,0,2740,35.9,0
2024-04-05 4:00:00,0,2300,36.2,0
2024-04-05 5:00:00,0,2620,34.4,0
2024-04-05 6:00:00,193,3993,33.3,3
2024-04-05 7:00:00,3019,2399,37.6,97
2024-04-05 8:00:00,10432,2522,41.9,297
2024-04-05 9:00:00,19419,2439,45,452
2024-04-05 10:00:00,24990,1870,45.2,472
2024-04-05 11:00:00,14329,1979,45.8,302
2024-04-05 12:00:00,9775,2435,46.7,409
2024-04-05 13:00:00,11157,2437,46.1,530
2024-04-05 14:00:00,15879,1959,48.2,373
2024-04-05 15:00:00,12097,1677,47.2,338
2024-04-05 16:00:00,6034,1474,47.4,189
2024-04-05 17:00:00,5713,1543,47.4,152
2024-04-05 18:00:00,1755,1655,44.9,31
2024-04-05 19:00:00,63,3243,43.2,6
2024-04-05 20:00:00,0,4600,41.6,0
2024-04-05 21:00:00,0,3440,40,0
2024-04-05 22:00:00,0,3710,40.9,0
2024-04-05 23:00:00,0,2460,40.7,0
2024-04-06 0:00:00,0,2240,40.5,0
2024-04-06 1:00:00,0,2230,40.5,0
2024-04-06 2:00:00,0,2350,39.8,0
2024-04-06 3:00:00,0,2430,40.1,0
2024-04-06 4:00:00,0,2330,40.1,0
2024-04-06 5:00:00,0,2200,39.6,0
2024-04-06 6:00:00,239,2899,39.4,4
